"COILIDOUT","COILIDIN","ALLOYCODE","ENTRYTHICK","EXITTHICK","ENTRYWIDTH","ENTRYDIAMPDI","EXITWEIGHTMEAS","DTSTARTROLL","DTDEPARTURE","DTENDROLLING","LENGTHPHASEEXIT","LENGTHTHICKTOL"
"1800127000B1R0","1800127000Y100",SPCC,4.5,1,1285,1806,2144.13592244904,"08.04.18 11:06","08.04.18 15:13","04.08.18 12:38",0,0
"1800131500B100","1800131500Y100",SPCC-1B,2.75,0.56,1255,1872,21903.5660267978,"08.04.18 13:06","09.04.18 14:20","04.09.18 07:10",3467.54052734375,4.23464965820313
"1800121000B100","1800121000Y100",DC01,5,1.2,1296,1941,22016.3076854904,"06.04.18 20:50","08.04.18 08:49","04.08.18 07:24",1347.50695800781,1.4227294921875
"1800121100B100","1800121100Y100",DC01,5,1,1296,1948,24976.8795939758,"08.04.18 06:39","08.04.18 09:17","04.08.18 07:46",1552.98107910156,1.64491271972656
"1800100700B100","1800100700Y100",DC01,5,1.2,1296,1945,24788.7105189766,"08.04.18 07:23","08.04.18 09:30","04.08.18 07:55",1640.61926269531,2.19198608398438
"1800127100B100","1800127100Y100",SPCC-1B,2.75,0.56,1255,1872,21804.8277451083,"08.04.18 13:16","09.04.18 14:37","04.09.18 08:43",2647.09106445313,2.82894897460938
"1800100900B100","1800100900Y100",DC01,5,1.2,1291,1946,24726.0450945948,"08.04.18 09:17","08.04.18 12:59","04.08.18 10:04",0,0
"1800097000B100","1800097000Y100",DC01,5.5,1.8,1246,1924,23390.3853784925,"08.04.18 10:41","08.04.18 12:55","04.08.18 11:01",356.030059814453,0.3409423828125
"1800096900B100","1800096900Y100",DC01,5.5,1.8,1246,1927,23462.4740586773,"08.04.18 10:37","08.04.18 12:50","04.08.18 10:53",934.791137695312,1.01531982421875
"1800100100B100","1800100100Y100",DC01,5,1.2,1296,1944,24899.9303480534,"08.04.18 07:43","08.04.18 10:17","04.08.18 08:32",1743.69458007812,2.03195190429688
"1800094300B100","1800094300Y100",DC01,5,1.2,1291,1940,24836.9790924649,"08.04.18 08:44","08.04.18 11:03","04.08.18 09:23",1079.28466796875,1.13453674316406
"1800094600B100","1800094600Y100",DC01,5,1.2,1291,1936,24980.4300332212,"08.04.18 08:32","08.04.18 10:44","04.08.18 08:53",1099.9677734375,2.0625
"1800094400B100","1800094400Y100",DC01,5,1.2,1291,1953,24940.3632961091,"08.04.18 08:39","08.04.18 11:02","04.08.18 09:11",375.180053710938,0.38232421875
"1800100200B100","1800100200Y100",DC01,5.5,1.5,1291,1904,23516.488611199,"08.04.18 10:08","08.04.18 12:04","04.08.18 10:25",1107.11560058594,2.62799072265625
"1800097100B100","1800097100Y100",DC01,5.5,1.8,1246,1920,23288.7641914328,"08.04.18 10:32","08.04.18 12:44","04.08.18 10:46",906.733764648438,1.04437255859375
"1800094800B100","1800094800Y100",DC01,5.5,1.8,1246,1921,23406.126569247,"08.04.18 10:49","08.04.18 13:01","04.08.18 11:07",983.358703613281,0.910003662109375
"1800100500B100","1800100500Y100",DC01,5.5,1.5,1291,1901,23758.7288042064,"08.04.18 10:15","08.04.18 12:23","04.08.18 10:31",1251.46508789063,2.1043701171875
"1800119000B100","1800119000Y100",DC01,5.5,1.5,1296,1903,24010.0282292003,"08.04.18 09:36","08.04.18 13:06","04.08.18 10:10",1171.59704589844,1.32070922851563
"1800124000B1R0","1800124000Y100",SPCC-1B,2.75,0.56,1255,1882,1317.97152541993,"09.04.18 08:46","09.04.18 17:50","04.09.18 11:03",0,0
"1800124500B100","1800124500Y100",SPCC-1B,2.75,0.56,1255,1879,21937.5341647071,"09.04.18 09:07","09.04.18 18:06","04.09.18 13:32",2681.10229492187,2.78231811523438
"1800124000B100","1800124000Y100",SPCC-1B,2.75,0.56,1255,1882,20656.0862465921,"09.04.18 08:46","09.04.18 17:58","04.09.18 11:14",3498.20043945313,4.47686767578125
"1800130100B100","1800130100Y100",SPCC-1B,2.75,0.56,1255,1877,21877.4651592525,"09.04.18 11:16","09.04.18 18:12","04.09.18 14:08",2104.29809570313,2.986572265625
"1800124800B100","1800124800Y100",SPCC-1B,2.75,0.56,1255,1877,21827.9721550132,"09.04.18 13:33","09.04.18 18:20","04.09.18 14:33",3547.87915039063,4.46195983886719
"1800124400B1R0","1800124400Y100",SPCC-1B,2.75,0.56,1255,1882,881.505594691539,"09.04.18 07:14","09.04.18 17:40","04.09.18 08:45",0,0
"1800087500B100","1800087500Y100",SPCC,3,0.7,1285,1803,20305.7896429289,"08.04.18 11:25","09.04.18 14:15","04.09.18 06:57",974.453491210937,1.36871337890625
"1800124400B100","1800124400Y100",SPCC-1B,2.75,0.56,1255,1882,21007.0235515169,"09.04.18 07:14","09.04.18 17:44","04.09.18 09:05",3239.98461914062,5.12655639648438
