"PLANT","DTSTART","DTEND","NDELAYCODE","DELAYCOMMENT","COILID1","DTSTORE"
3,"22.09.16 09:19","22.09.16 09:28",0,,,"22.09.16 09:28"
1,"22.09.16 09:28","22.09.16 09:43",0,,,"22.09.16 09:48"
3,"22.09.16 09:43","22.09.16 10:40",0,,,"22.09.16 10:40"
1,"22.09.16 10:40","22.09.16 10:54",0,,,"22.09.16 10:59"
3,"22.09.16 10:54","22.09.16 11:11",0,,,"22.09.16 11:11"
2,"22.09.16 11:57","22.09.16 11:59",0,,,"22.09.16 12:04"
1,"22.09.16 11:11","22.09.16 11:21",0,,,"22.09.16 11:26"
3,"22.09.16 12:35","22.09.16 12:50",0,,,"22.09.16 12:50"
1,"22.09.16 12:50","22.09.16 13:03",0,,,"22.09.16 13:08"
2,"22.09.16 13:38","22.09.16 13:47",0,,,"22.09.16 13:52"
3,"22.09.16 13:47","22.09.16 14:19",0,,,"22.09.16 14:19"
3,"22.09.16 14:19","22.09.16 15:00",0,,,"22.09.16 15:00"
1,"22.09.16 14:19","22.09.16 14:19",0,,,"22.09.16 14:24"
2,"22.09.16 15:50","22.09.16 15:58",0,,,"22.09.16 15:57"
1,"22.09.16 15:00","22.09.16 15:15",0,,,"22.09.16 15:20"
2,"22.09.16 15:39","22.09.16 15:47",0,,,"22.09.16 15:47"
3,"22.09.16 16:02","23.09.16 06:38",0,,,"23.09.16 06:38"
1,"22.09.16 15:55","22.09.16 16:02",0,,,"22.09.16 16:07"
1,"23.09.16 06:38","23.09.16 06:42",0,,,"23.09.16 06:47"
3,"23.09.16 06:42","23.09.16 06:48",0,,,"23.09.16 06:47"
1,"23.09.16 06:48","23.09.16 06:48",0,,,"23.09.16 06:53"
3,"23.09.16 06:48","23.09.16 07:00",0,,,"23.09.16 07:00"
1,"23.09.16 07:00","23.09.16 07:00",0,,,"23.09.16 07:05"
3,"23.09.16 07:00","23.09.16 07:34",0,,,"23.09.16 07:33"
3,"23.09.16 09:18","23.09.16 10:02",0,,,"23.09.16 10:02"
1,"23.09.16 07:34","23.09.16 07:45",0,,,"23.09.16 07:50"
2,"23.09.16 08:47","23.09.16 08:56",0,,,"23.09.16 08:56"
2,"23.09.16 09:16","23.09.16 09:18",0,,,"23.09.16 09:23"
1,"23.09.16 10:02","23.09.16 10:19",0,,,"23.09.16 10:24"
2,"23.09.16 10:33","23.09.16 10:42",0,,,"23.09.16 10:47"
3,"23.09.16 10:42","23.09.16 10:54",0,,,"23.09.16 10:54"
1,"23.09.16 10:54","23.09.16 11:07",0,,,"23.09.16 11:12"
1,"23.09.16 11:32","23.09.16 11:32",0,,,"23.09.16 11:37"
1,"23.09.16 11:47","23.09.16 12:02",0,,,"23.09.16 12:07"
3,"23.09.16 11:32","23.09.16 11:47",0,,,"23.09.16 11:47"
3,"23.09.16 12:02","23.09.16 12:07",0,,,"23.09.16 12:07"
1,"23.09.16 12:07","23.09.16 12:23",0,,,"23.09.16 12:28"
1,"23.09.16 12:41","23.09.16 13:27",0,,,"23.09.16 13:32"
2,"23.09.16 13:41","23.09.16 13:46",0,,,"23.09.16 13:51"
1,"23.09.16 13:34","23.09.16 13:40",0,,,"23.09.16 13:45"
3,"23.09.16 13:40","23.09.16 13:41",0,,,"23.09.16 13:46"
2,"23.09.16 14:15","23.09.16 14:24",0,,,"23.09.16 14:29"
3,"23.09.16 13:46","23.09.16 14:11",0,,,"23.09.16 14:11"
1,"23.09.16 14:11","23.09.16 14:14",0,,,"23.09.16 14:19"
3,"23.09.16 14:24","26.09.16 10:22",0,,,"26.09.16 10:27"
2,"26.09.16 10:55","26.09.16 11:16",0,,,"26.09.16 11:16"
2,"26.09.16 10:22","26.09.16 10:30",0,,,"26.09.16 10:29"
2,"26.09.16 11:31","26.09.16 11:39",0,,,"26.09.16 11:44"
1,"26.09.16 11:17","26.09.16 11:24",0,,,"26.09.16 11:29"
2,"26.09.16 14:02","26.09.16 14:15",0,,,"26.09.16 14:15"
3,"26.09.16 11:39","26.09.16 13:33",0,,,"26.09.16 13:33"
1,"26.09.16 13:33","26.09.16 13:34",0,,,"26.09.16 13:39"
2,"26.09.16 13:49","26.09.16 13:56",0,,,"26.09.16 13:56"
2,"26.09.16 14:21","26.09.16 14:30",0,,,"26.09.16 14:30"
3,"26.09.16 14:33","26.09.16 14:40",0,,,"26.09.16 14:40"
1,"26.09.16 14:25","26.09.16 14:33",0,,,"26.09.16 14:38"
2,"26.09.16 14:44","26.09.16 14:51",0,,,"26.09.16 14:56"
